movie_name,release_year,certificate,duration,genre,star,metascore,votes
 Mare of Easttown,2021,not rated,64 min,"Crime, Drama, Mystery",9.1,nil,"3,159"
 Cobra Kai,2018– ,not rated,39 min,"Action, Comedy, Drama",9.2,nil,"3,139"
Uppena,2021,12,147 min,"Action, Drama, Romance",6.8,nil,"3,135"
The Box,V 2021,not rated,94 min,"Drama, Music, Musical",8.7,nil,"3,126"
Crashh,2021– ,not rated,23 min,Romance,9.0,nil,"3,123"
Konusanlar,2021– ,not rated,50 min,"Comedy, Talk-Show",6.9,nil,"3,121"
Silk Road,2021,12,112 min,"Crime, Drama, Thriller",5.9,41        ,"3,110"
Chakra,2021,not rated,131 min,"Action, Crime, Thriller",7.0,nil,"3,092"
 Lupin,2021– ,12,47 min,"Action, Crime, Drama",7.9,nil,"3,085"
Age of Samurai: Battle for Japan,2021– ,16,nil,"Documentary, Action, Adventure",7.4,nil,"3,070"
Il Divin Codino,2021,not rated,91 min,"Biography, Drama, Sport",6.1,nil,"3,061"
 Star Wars: The Bad Batch,2021– ,not rated,31 min,"Animation, Action, Adventure",7.5,nil,"3,040"
 Lucifer,2016– ,12,53 min,"Crime, Drama, Fantasy",9.4,nil,"2,973"
Tina,2021,AL,118 min,"Documentary, Biography, History",8.0,81        ,"2,964"
Mayor Grom: Chumnoy Doktor,2021,not rated,136 min,"Action, Adventure",6.5,nil,"2,950"
 Rick and Morty,2013– ,12,nil,"Animation, Adventure, Comedy",9.1,nil,"2,931"
Bhoomi,II 2021,not rated,128 min,"Action, Drama",5.0,nil,"2,919"
Marvel Studios: Legends,2021– ,not rated,7 min,"Action, Fantasy, Sci-Fi",6.5,nil,"2,910"
Q: Into the Storm,2021,not rated,353 min,Documentary,7.6,nil,"2,823"
 Mare of Easttown,2021,not rated,60 min,"Crime, Drama, Mystery",8.3,nil,"2,820"
First Signal,2021,not rated,102 min,"Drama, History, Sci-Fi",7.0,nil,"2,806"
 Black Clover,2017–2021,not rated,24 min,"Animation, Action, Adventure",9.7,nil,"2,806"
Tunna blå linjen,2021– ,not rated,60 min,"Crime, Drama",8.2,nil,"2,798"
Law & Order: Organized Crime,2021– ,not rated,nil,"Crime, Drama, Mystery",7.6,nil,"2,795"
 Cobra Kai,2018– ,not rated,32 min,"Action, Comedy, Drama",8.2,nil,"2,794"
 Black Clover,2017–2021,not rated,24 min,"Animation, Action, Adventure",9.7,nil,"2,787"
 Mare of Easttown,2021,not rated,56 min,"Crime, Drama, Mystery",8.4,nil,"2,783"
The Misfits,2021,12,94 min,"Action, Adventure, Thriller",4.1,24        ,"2,762"
Great White,2021,12,91 min,"Horror, Thriller",4.0,nil,"2,735"
 Shadow and Bone,2021– ,not rated,52 min,"Action, Adventure, Drama",7.8,nil,"2,730"
Mr. Mayor,2021– ,not rated,22 min,Comedy,6.3,nil,"2,723"
 Mare of Easttown,2021,not rated,57 min,"Crime, Drama, Mystery",8.8,nil,"2,712"
Roberrt,2021,not rated,166 min,"Action, Comedy, Musical",6.7,nil,"2,703"
Xtremo,2021,not rated,111 min,"Action, Crime, Drama",5.8,nil,"2,693"
"Crack: Cocaine, Corruption & Conspiracy",2021,12,89 min,"Documentary, Crime, History",6.7,nil,"2,692"
Kala,2021,not rated,130 min,Thriller,6.9,nil,"2,692"
 The Expanse,2015– ,not rated,56 min,"Drama, Mystery, Sci-Fi",8.7,nil,"2,682"
 Cobra Kai,2018– ,not rated,30 min,"Action, Comedy, Drama",8.9,nil,"2,681"
Rurôni Kenshin: Sai shûshô - The Final,2021,not rated,138 min,"Action, Adventure, Drama",7.3,nil,"2,674"
 Star Trek: Discovery,2017– ,12,62 min,"Action, Adventure, Drama",6.3,nil,"2,670"
Breaking News in Yuba County,2021,16,96 min,"Comedy, Crime, Drama",5.7,24        ,"2,663"
Generation,2021– ,not rated,nil,"Comedy, Drama",6.5,nil,"2,640"
Shookum Hills,2021,not rated,88 min,"Horror, Thriller",4.2,nil,"2,630"
 Cobra Kai,2018– ,not rated,36 min,"Action, Comedy, Drama",8.6,nil,"2,621"
M.O.D.O.K.,2021– ,not rated,22 min,"Animation, Action, Comedy",6.3,nil,"2,616"
Together Together,2021,R,90 min,Comedy,6.5,72        ,"2,606"
 Cobra Kai,2018– ,not rated,38 min,"Action, Comedy, Drama",8.3,nil,"2,606"
Censor,2021,not rated,84 min,Horror,5.9,67        ,"2,598"
Sex/Life,2021– ,not rated,nil,"Comedy, Drama, Romance",5.9,nil,"2,586"
Vanquish,2021,R,94 min,"Action, Crime, Thriller",2.7,22        ,"2,581"
Operation Java,2021,not rated,146 min,"Crime, Drama, Thriller",8.3,nil,"2,581"
 Lucifer,2016– ,12,63 min,"Crime, Drama, Fantasy",9.5,nil,"2,566"
Son,2021,not rated,98 min,"Horror, Thriller",5.5,52        ,"2,552"
Madame Claude,2021,not rated,112 min,"Biography, Crime, Drama",5.4,nil,"2,530"
Tribhanga,2021,16,95 min,"Drama, Family",6.1,nil,"2,524"
Secret Magic Control Agency,2021,6,103 min,"Animation, Adventure, Comedy",6.2,nil,"2,516"
 One Piece: Wan pîsu,1999– ,not rated,24 min,"Animation, Action, Adventure",9.6,nil,"2,513"
 Lupin,2021– ,12,52 min,"Action, Crime, Drama",7.8,nil,"2,490"
 Cobra Kai,2018– ,not rated,32 min,"Action, Comedy, Drama",8.0,nil,"2,481"
 One Piece: Wan pîsu,1999– ,not rated,24 min,"Animation, Action, Adventure",9.4,nil,"2,476"
Irul,2021,16,91 min,"Mystery, Thriller",5.8,nil,"2,476"
Country Comfort,2021– ,AL,nil,"Comedy, Drama, Family",6.9,nil,"2,461"
 Star Wars: The Bad Batch,2021– ,not rated,28 min,"Animation, Action, Adventure",7.9,nil,"2,451"
 Lucifer,2016– ,12,58 min,"Crime, Drama, Fantasy",8.4,nil,"2,443"
Big Shot,2021– ,not rated,nil,"Comedy, Drama, Sport",7.5,nil,"2,438"
The Djinn,2021,R,82 min,"Horror, Thriller",4.7,61        ,"2,431"
Grahan,I 2021– ,not rated,nil,"Action, Drama, Thriller",8.9,nil,"2,429"
Milosc do kwadratu,2021,not rated,102 min,"Comedy, Romance",5.0,nil,"2,415"
 Cobra Kai,2018– ,not rated,34 min,"Action, Comedy, Drama",8.5,nil,"2,401"
 Cobra Kai,2018– ,not rated,28 min,"Action, Comedy, Drama",8.5,nil,"2,395"
The Year Earth Changed,2021,not rated,48 min,Documentary,8.3,nil,"2,383"
"Batman: The Long Halloween, Part One",2021 Video,PG-13,85 min,"Animation, Action, Crime",7.5,nil,"2,381"
Love Scandals & Doctors,2021– ,not rated,20 min,Thriller,8.9,nil,"2,363"
 Lucifer,2016– ,12,55 min,"Crime, Drama, Fantasy",8.5,nil,"2,356"
 Doctor Who,2005– ,9,71 min,"Adventure, Drama, Family",5.9,nil,"2,352"
 Dracula,2021– ,not rated,nil,"Comedy, Drama",9.5,nil,"2,346"
Teddy,II 2021,not rated,136 min,"Animation, Action, Adventure",6.7,nil,"2,344"
 Shadow and Bone,2021– ,not rated,52 min,"Action, Adventure, Drama",7.8,nil,"2,323"
 Cobra Kai,2018– ,not rated,29 min,"Action, Comedy, Drama",8.3,nil,"2,322"
 The Handmaid's Tale,2017– ,16,62 min,"Drama, Sci-Fi, Thriller",8.7,nil,"2,312"
Happily,2021,R,96 min,"Comedy, Crime, Romance",5.3,58        ,"2,307"
 Euphoria,2019– ,16,49 min,Drama,8.8,nil,"2,300"
Vitthal Teedi,2021– ,not rated,185 min,Drama,9.5,nil,"2,292"
 Shadow and Bone,2021– ,not rated,58 min,"Action, Adventure, Drama",8.7,nil,"2,275"
 Lupin,2021– ,12,42 min,"Action, Crime, Drama",7.6,nil,"2,269"
 Dracula,2021– ,not rated,nil,"Comedy, Drama",9.6,nil,"2,255"
22 vs. Earth,2021,not rated,9 min,"Animation, Short, Adventure",6.5,nil,"2,242"
Kaadan,2021,not rated,170 min,"Action, Drama, Fantasy",9.1,nil,"2,238"
 The Expanse,2015– ,not rated,54 min,"Drama, Mystery, Sci-Fi",7.6,nil,"2,238"
Resident Evil Village,2021 Video Game,not rated,nil,"Action, Adventure, Fantasy",8.9,nil,"2,236"
Bling Empire,2021– ,not rated,38 min,Reality-TV,5.8,nil,"2,208"
Fumetsu no Anata e,2021– ,not rated,25 min,"Animation, Adventure, Drama",9.1,nil,"2,203"
 Lupin,2021– ,12,43 min,"Action, Crime, Drama",7.7,nil,"2,198"
Rebel,2021,not rated,nil,"Crime, Drama",7.0,nil,"2,196"
 Lupin,2021– ,12,47 min,"Action, Crime, Drama",7.6,nil,"2,191"
Skater Girl,2021,PG,107 min,"Drama, Family, Sport",6.7,nil,"2,179"
Sir Alex Ferguson: Never Give In,2021,PG-13,130 min,Documentary,8.4,68        ,"2,177"
 The Frog,2020–2021,not rated,44 min,"Crime, Drama, Mystery",8.5,nil,"2,159"
Gokushufudo,2021– ,not rated,16 min,"Animation, Action, Comedy",7.3,nil,"2,159"
Oslo,2021 TV Movie,not rated,118 min,"Drama, History, Thriller",6.6,54        ,"2,159"
 Shadow and Bone,2021– ,not rated,48 min,"Action, Adventure, Drama",7.9,nil,"2,149"
 The Expanse,2015– ,not rated,48 min,"Drama, Mystery, Sci-Fi",8.0,nil,"2,149"
 Dracula,2021– ,not rated,nil,"Comedy, Drama",9.6,nil,"2,148"
Recalled,2021,not rated,99 min,"Drama, Mystery, Thriller",6.9,nil,"2,146"
 Dracula,2021– ,not rated,nil,"Comedy, Drama",9.7,nil,"2,143"
Solos,2021– ,not rated,185 min,"Drama, Fantasy, Sci-Fi",5.7,nil,"2,141"
 Dracula,2021– ,not rated,nil,"Comedy, Drama",9.8,nil,"2,140"
One,II 2021,not rated,151 min,"Drama, Thriller",6.6,nil,"2,133"
 The Frog,2020–2021,not rated,46 min,"Crime, Drama, Mystery",8.5,nil,"2,131"
 Jujutsu Kaisen,2020– ,not rated,24 min,"Animation, Action, Adventure",9.6,nil,"2,126"
Shuumatsu no Valkyrie,2021– ,not rated,24 min,"Animation, Action, Adventure",6.2,nil,"2,126"
 Line of Duty,2012– ,12,57 min,"Crime, Drama, Mystery",5.5,nil,"2,124"
Sijipeuseu: The Myth,2021– ,not rated,70 min,"Action, Drama, Fantasy",7.1,nil,"2,120"
 Star Wars: The Bad Batch,2021– ,not rated,26 min,"Animation, Action, Adventure",7.6,nil,"2,114"
 Young Rock,2021– ,not rated,nil,Comedy,8.7,nil,"2,114"
 Dracula,2021– ,not rated,nil,"Comedy, Drama",9.8,nil,"2,111"
Wir Kinder vom Bahnhof Zoo,2021,16,nil,Drama,6.3,nil,"2,101"
 Boruto: Naruto Next Generations,2017– ,not rated,24 min,"Animation, Action, Adventure",9.7,nil,"2,100"
 Young Rock,2021– ,not rated,nil,Comedy,9.1,nil,"2,098"
Move to Heaven,2021– ,not rated,60 min,Drama,8.7,nil,"2,096"
Eeswaran,2021,not rated,130 min,"Action, Drama",4.7,nil,"2,094"
Peter Rabbit 2: The Runaway,2021,6,93 min,"Animation, Adventure, Comedy",6.2,43        ,"2,082"
Kung Fu,2021– ,not rated,nil,"Action, Adventure, Drama",5.0,nil,"2,077"
 Shadow and Bone,2021– ,not rated,45 min,"Action, Adventure, Drama",8.6,nil,"2,071"
 Superman and Lois,2021– ,not rated,44 min,"Action, Adventure, Drama",8.4,nil,"2,064"
 Boruto: Naruto Next Generations,2017– ,not rated,24 min,"Animation, Action, Adventure",9.7,nil,"2,063"
Alma Matters - Inside the IIT Dream,2021,not rated,150 min,Documentary,8.6,nil,"2,056"
 Shadow and Bone,2021– ,not rated,51 min,"Action, Adventure, Drama",8.1,nil,"2,052"
 Yakusoku no Neverland,2019–2021,not rated,23 min,"Animation, Adventure, Drama",2.6,nil,"2,030"
The Power,II 2021,not rated,92 min,Horror,5.6,60        ,"2,028"
Xin shen bang: Ne Zha chong sheng,2021,6,118 min,"Animation, Action, Fantasy",6.9,nil,"2,023"
Word of Honor,2021– ,not rated,45 min,"Action, Drama, Fantasy",9.1,nil,"2,023"
 South Park,1997– ,12,46 min,"Animation, Comedy",7.5,nil,"2,022"
 Castlevania,2017–2021,12,31 min,"Animation, Action, Adventure",9.8,nil,"2,018"
The Lost Pirate Kingdom,2021– ,not rated,nil,"Documentary, Adventure, Drama",6.6,nil,"2,013"
 The Frog,2020–2021,not rated,50 min,"Crime, Drama, Mystery",7.9,nil,"2,009"
The Seventh Day,2021,R,87 min,"Horror, Mystery",4.4,43        ,"2,007"
 The Frog,2020–2021,not rated,44 min,"Crime, Drama, Mystery",8.3,nil,"1,999"
Infinitum: Subject Unknown,2021,not rated,86 min,Sci-Fi,5.5,nil,"1,995"
 One Piece: Wan pîsu,1999– ,not rated,nil,"Animation, Action, Adventure",9.6,nil,"1,991"
 Re:Zero kara hajimeru isekai seikatsu,2016– ,not rated,30 min,"Animation, Adventure, Drama",9.8,nil,"1,982"
 The Expanse,2015– ,not rated,52 min,"Drama, Mystery, Sci-Fi",7.8,nil,"1,982"
The Great Escapists,2021– ,not rated,nil,"Documentary, Adventure, Comedy",5.7,nil,"1,971"
Bir Yeralti Sitcom'u,2021– ,not rated,nil,Comedy,7.4,nil,"1,968"
Kid 90,2021,not rated,71 min,"Documentary, Biography, History",6.9,67        ,"1,964"
 The Handmaid's Tale,2017– ,16,58 min,"Drama, Sci-Fi, Thriller",9.0,nil,"1,959"
 The Frog,2020–2021,not rated,46 min,"Crime, Drama, Mystery",7.7,nil,"1,953"
Life in Colour,2021– ,not rated,59 min,Documentary,8.3,nil,"1,952"
 The Frog,2020–2021,not rated,47 min,"Crime, Drama, Mystery",7.8,nil,"1,950"
 Your Honor,2020–2021,12,59 min,"Crime, Drama, Thriller",7.3,nil,"1,943"
 Shadow and Bone,2021– ,not rated,54 min,"Action, Adventure, Drama",8.2,nil,"1,936"
 Lucifer,2016– ,12,53 min,"Crime, Drama, Fantasy",8.6,nil,"1,932"
Payback,2021,not rated,91 min,Thriller,6.0,nil,"1,930"
 Star Wars: The Bad Batch,2021– ,not rated,27 min,"Animation, Action, Adventure",8.6,nil,"1,929"
 Star Wars: The Bad Batch,2021– ,not rated,23 min,"Animation, Action, Adventure",7.4,nil,"1,914"
 Lucifer,2016– ,12,59 min,"Crime, Drama, Fantasy",9.0,nil,"1,903"
 The Expanse,2015– ,not rated,51 min,"Drama, Mystery, Sci-Fi",8.1,nil,"1,902"
Tokyo Revengers,2021– ,not rated,24 min,"Animation, Action, Drama",8.6,nil,"1,900"
Jeet Ki Zid,2021– ,not rated,40 min,"Action, Drama",8.5,nil,"1,899"
Marasli,2021– ,not rated,120 min,Drama,8.0,nil,"1,895"
B.A. Pass 3,2021,not rated,136 min,"Drama, Romance",8.2,nil,"1,891"
 The Handmaid's Tale,2017– ,16,54 min,"Drama, Sci-Fi, Thriller",8.1,nil,"1,891"
Wild Dog,2021,not rated,145 min,"Action, Adventure, Crime",6.3,nil,"1,889"
 Shadow and Bone,2021– ,not rated,52 min,"Action, Adventure, Drama",8.4,nil,"1,885"
Cinema Bandi,2021,not rated,98 min,"Comedy, Drama",8.0,nil,"1,883"
 Fear the Walking Dead,2015– ,not rated,51 min,"Drama, Horror, Sci-Fi",8.0,nil,"1,883"
The Yinyang Master,2021,16,113 min,"Action, Adventure, Drama",6.4,nil,"1,883"
 The Frog,2020–2021,not rated,48 min,"Crime, Drama, Mystery",8.0,nil,"1,880"
Coyote,2021– ,not rated,290 min,"Crime, Drama, Thriller",6.8,nil,"1,878"
 The Frog,2020–2021,not rated,48 min,"Crime, Drama, Mystery",7.6,nil,"1,877"
Nizhal,2021,not rated,118 min,"Drama, Mystery, Thriller",6.4,nil,"1,870"
 Star Wars: The Bad Batch,2021– ,not rated,21 min,"Animation, Action, Adventure",7.2,nil,"1,869"
Trese,2021– ,not rated,33 min,"Animation, Action, Adventure",7.2,nil,"1,862"
Last Chance U: Basketball,2021– ,12,nil,"Documentary, Sport",8.4,nil,"1,860"
You Belong to Me,2021,R,105 min,"Drama, Mystery, Thriller",5.2,32        ,"1,859"
 Star Wars: The Bad Batch,2021– ,not rated,24 min,"Animation, Action, Adventure",9.1,nil,"1,850"
 The Frog,2020–2021,not rated,54 min,"Crime, Drama, Mystery",7.7,nil,"1,850"
Gibi,2021– ,not rated,30 min,Comedy,8.5,nil,"1,847"
 The Frog,2020–2021,not rated,45 min,"Crime, Drama, Mystery",7.8,nil,"1,841"
Mai Hero Boll Raha Hu,2021– ,not rated,nil,"Action, Thriller",8.9,nil,"1,838"
Born a Champion,2021,R,112 min,"Action, Drama, Sport",7.0,nil,"1,827"
Red,I 2021,not rated,146 min,"Action, Crime, Drama",6.7,nil,"1,816"
 Jujutsu Kaisen,2020– ,not rated,24 min,"Animation, Action, Adventure",9.3,nil,"1,813"
 The Frog,2020–2021,not rated,52 min,"Crime, Drama, Mystery",7.9,nil,"1,812"
 The Frog,2020–2021,not rated,53 min,"Crime, Drama, Mystery",7.6,nil,"1,812"
 Jujutsu Kaisen,2020– ,not rated,24 min,"Animation, Action, Adventure",9.2,nil,"1,799"
 Lucifer,2016– ,12,61 min,"Crime, Drama, Fantasy",8.5,nil,"1,791"
 Resident Alien,2021– ,not rated,47 min,"Comedy, Drama, Mystery",8.3,nil,"1,779"
Mauseu,2021– ,not rated,80 min,"Action, Crime, Mystery",8.7,nil,"1,773"
The Pursuit of Love,2021– ,12,nil,"Drama, Romance",6.6,nil,"1,765"
Ji hun,2021,not rated,130 min,"Drama, Mystery, Sci-Fi",6.7,nil,"1,758"
The Great North,2021– ,not rated,21 min,"Animation, Comedy",6.5,nil,"1,751"
Starstruck,2021– ,not rated,30 min,Comedy,7.7,nil,"1,732"
Dystopia,2021– ,not rated,nil,Horror,8.7,nil,"1,723"
LOL: Last One Laughing Germany,2021– ,not rated,nil,"Comedy, Reality-TV",7.8,nil,"1,719"
Exterminate All the Brutes,2021,not rated,232 min,"Documentary, History",6.8,nil,"1,711"
Zombie Reddy,2021,not rated,130 min,"Action, Comedy, Horror",7.0,nil,"1,709"
 The Frog,2020–2021,not rated,71 min,"Crime, Drama, Mystery",7.3,nil,"1,707"
Kevin Can F**k Himself,2021– ,not rated,nil,"Comedy, Drama",6.4,nil,"1,705"
 Dracula,2021– ,not rated,nil,"Comedy, Drama",9.6,nil,"1,705"
 One Piece: Wan pîsu,1999– ,not rated,24 min,"Animation, Action, Adventure",9.3,nil,"1,703"
A Perfect Planet,2021,not rated,245 min,Documentary,9.1,nil,"1,701"
Wonder Egg Priority,2021– ,not rated,23 min,"Animation, Action, Drama",8.2,nil,"1,695"
Too Close,2021,not rated,143 min,"Crime, Drama, Thriller",6.7,nil,"1,689"
Dude,2021– ,not rated,32 min,"Drama, Mystery, Thriller",9.3,nil,"1,686"
 Superman and Lois,2021– ,not rated,43 min,"Action, Adventure, Drama",8.3,nil,"1,685"
 Fear the Walking Dead,2015– ,not rated,48 min,"Drama, Horror, Sci-Fi",6.2,nil,"1,676"
Doors,2021,not rated,84 min,Sci-Fi,3.3,nil,"1,670"
 Jujutsu Kaisen,2020– ,not rated,24 min,"Animation, Action, Adventure",9.1,nil,"1,667"
The Pact,2021– ,not rated,nil,Thriller,6.8,nil,"1,665"
Twist,2021,16,90 min,"Action, Drama",4.0,nil,"1,664"
 Fear the Walking Dead,2015– ,not rated,51 min,"Drama, Horror, Sci-Fi",8.5,nil,"1,660"
High-Rise Invasion,2021– ,not rated,25 min,"Animation, Action, Horror",6.7,nil,"1,658"
Domina,2021– ,not rated,nil,"Drama, History",7.0,nil,"1,653"
Indori Ishq,2021– ,not rated,25 min,"Comedy, Drama, Romance",7.4,nil,"1,651"
Homunculus,2021,not rated,115 min,"Drama, Fantasy, Mystery",5.6,nil,"1,651"
 The Handmaid's Tale,2017– ,16,41 min,"Drama, Sci-Fi, Thriller",7.7,nil,"1,649"
 The Flash,2014– ,12,42 min,"Action, Adventure, Drama",8.5,nil,"1,646"
False Positive,2021,R,92 min,"Horror, Mystery, Thriller",4.6,54        ,"1,642"
The Upshaws,2021– ,not rated,nil,Comedy,6.9,nil,"1,641"
 One Piece: Wan pîsu,1999– ,not rated,nil,"Animation, Action, Adventure",9.5,nil,"1,630"
 The Handmaid's Tale,2017– ,16,48 min,"Drama, Sci-Fi, Thriller",8.2,nil,"1,630"
Ek Mini Katha,2021,not rated,134 min,"Comedy, Drama",7.3,nil,"1,627"
 The Handmaid's Tale,2017– ,16,47 min,"Drama, Sci-Fi, Thriller",8.8,nil,"1,624"
Plan B,II 2021,not rated,107 min,Comedy,6.7,74        ,"1,621"
Cypher,2021– ,not rated,nil,"Action, Crime, Drama",6.5,nil,"1,614"
Douluo Continent,2021– ,not rated,38 min,"Action, Fantasy, Horror",9.0,nil,"1,614"
 The Flash,2014– ,12,42 min,"Action, Adventure, Drama",7.3,nil,"1,612"
 When Calls the Heart,2014– ,6,nil,"Drama, Family, Romance",5.0,nil,"1,605"
Gaali Sampath,2021,not rated,130 min,Drama,7.4,nil,"1,604"
Nenjam Marappathillai,2021,not rated,150 min,"Horror, Thriller",6.4,nil,"1,595"
Surviving Death,2021– ,12,50 min,"Documentary, Reality-TV",6.1,nil,"1,591"
Leonardo,2021– ,not rated,nil,"Biography, Drama, History",7.1,nil,"1,588"
 Black Clover,2017–2021,not rated,24 min,"Animation, Action, Adventure",9.6,nil,"1,585"
 The Handmaid's Tale,2017– ,16,45 min,"Drama, Sci-Fi, Thriller",8.2,nil,"1,583"
Men in Kilts: A Roadtrip with Sam and Graham,2021– ,not rated,nil,"Documentary, Comedy, Reality-TV",8.8,nil,"1,578"
 Walker,2021– ,not rated,42 min,"Action, Crime, Drama",6.9,nil,"1,574"
Lisey's Story,2021,not rated,nil,"Drama, Horror, Mystery",5.9,nil,"1,572"
 The Handmaid's Tale,2017– ,16,47 min,"Drama, Sci-Fi, Thriller",8.0,nil,"1,570"
 One Piece: Wan pîsu,1999– ,not rated,24 min,"Animation, Action, Adventure",9.4,nil,"1,568"
30 Rojullo Preminchadam Ela,2021,not rated,143 min,Romance,7.6,nil,"1,561"
The Power,I 2021,not rated,153 min,"Action, Crime, Drama",5.7,nil,"1,559"
Demi Lovato: Dancing with the Devil,2021,not rated,94 min,"Documentary, Music",8.2,nil,"1,559"
iCarly,2021– ,not rated,26 min,"Comedy, Drama, Family",7.2,nil,"1,557"
Just Say Yes,2021,12,97 min,"Comedy, Romance",4.5,nil,"1,557"
Dad Stop Embarrassing Me,2021,9,25 min,"Comedy, Family",4.2,nil,"1,553"
Bad President,2021,not rated,90 min,"Comedy, Fantasy",5.2,nil,"1,553"
 Jupiter's Legacy,2021,not rated,47 min,"Action, Adventure, Drama",7.2,nil,"1,546"
 The Flash,2014– ,12,42 min,"Action, Adventure, Drama",5.4,nil,"1,542"
 Young Rock,2021– ,not rated,nil,Comedy,8.5,nil,"1,536"
Kaifuku Jutsushi no Yarinaoshi,2021– ,not rated,24 min,"Animation, Action, Adventure",6.3,nil,"1,534"
SK8 the Infinity,2021– ,not rated,nil,"Animation, Adventure, Comedy",8.2,nil,"1,526"
WeWork,2021,not rated,104 min,Documentary,6.6,56        ,"1,519"
Paradise City,2021– ,not rated,nil,"Drama, Fantasy, Music",6.9,nil,"1,518"
 Jujutsu Kaisen,2020– ,not rated,24 min,"Animation, Action, Adventure",8.9,nil,"1,514"
 The Rookie,2018– ,12,nil,"Comedy, Crime, Drama",4.1,nil,"1,511"
Intergalactic,2021– ,not rated,nil,"Drama, Sci-Fi",4.1,nil,"1,508"
 Dracula,2021– ,not rated,nil,"Comedy, Drama",9.6,nil,"1,508"
 Your Honor,2020–2021,12,54 min,"Crime, Drama, Thriller",8.3,nil,"1,500"
The Drowning,2021,not rated,nil,"Drama, Mystery, Thriller",5.5,nil,"1,496"
 For All Mankind,2019– ,not rated,76 min,"Drama, Sci-Fi",9.6,nil,"1,493"
 Young Rock,2021– ,not rated,24 min,Comedy,7.8,nil,"1,493"
Dogu,2021– ,not rated,nil,Comedy,7.4,nil,"1,487"
The Me You Can't See,2021– ,not rated,nil,Documentary,5.3,nil,"1,486"
 Black Clover,2017–2021,not rated,24 min,"Animation, Action, Adventure",9.8,nil,"1,485"
Frank of Ireland,2021– ,not rated,nil,Comedy,6.7,nil,"1,482"
Saat Kadam,2021– ,not rated,120 min,"Drama, Sport",8.5,nil,"1,481"
Narco Sub,2021,R,93 min,"Action, Crime, Drama",6.4,nil,"1,477"
Kathmandu Connection,2021– ,not rated,nil,"Action, Crime, Thriller",5.8,nil,"1,475"
 Raketsonyeondan,2021– ,not rated,86 min,"Comedy, Drama, Sport",1.0,nil,"1,458"
 The Nevers,2021– ,16,64 min,"Action, Drama, Fantasy",7.8,nil,"1,447"
 Superman and Lois,2021– ,not rated,44 min,"Action, Adventure, Drama",8.1,nil,"1,441"
Know Fear,2021,not rated,77 min,Horror,5.5,nil,"1,439"
Fake Famous,2021 TV Movie,9,87 min,Documentary,6.6,nil,"1,438"
Pixar Popcorn,2021– ,not rated,19 min,"Animation, Short, Comedy",6.6,nil,"1,438"
 Shameless,2011–2021,12,50 min,"Comedy, Drama",6.0,nil,"1,435"
 Young Rock,2021– ,not rated,nil,Comedy,8.4,nil,"1,432"
Girls5eva,2021– ,not rated,nil,"Comedy, Music",7.2,nil,"1,429"
 Batwoman,2019– ,not rated,42 min,"Action, Adventure, Crime",4.3,nil,"1,420"
 One Piece: Wan pîsu,1999– ,not rated,nil,"Animation, Action, Adventure",9.4,nil,"1,418"
Climax,2021,not rated,80 min,Thriller,8.1,nil,"1,417"
Madam Chief Minister,2021,not rated,130 min,Drama,4.6,nil,"1,416"
 Dracula,2021– ,not rated,nil,"Comedy, Drama",9.6,nil,"1,412"
 Anne Boleyn,2021– ,not rated,nil,"Drama, History",3.9,nil,"1,409"
 Jujutsu Kaisen,2020– ,not rated,24 min,"Animation, Action, Adventure",8.6,nil,"1,408"
Home Economics,2021– ,not rated,30 min,Comedy,6.2,nil,"1,406"
 Castlevania,2017–2021,12,31 min,"Animation, Action, Adventure",9.6,nil,"1,399"
 Fear the Walking Dead,2015– ,not rated,45 min,"Drama, Horror, Sci-Fi",7.5,nil,"1,395"
The Nailbomber,2021,not rated,72 min,"Documentary, Crime, History",6.3,nil,"1,395"
Zebra Girl,2021,not rated,79 min,"Mystery, Thriller",7.1,nil,"1,392"
Secrets of Sinauli: Discovery of the Century,2021,not rated,56 min,"Documentary, History",9.3,nil,"1,388"
Finding Alice,2021– ,not rated,46 min,"Comedy, Drama",5.7,nil,"1,385"
Vellam,I 2021,not rated,154 min,"Biography, Drama",7.7,nil,"1,382"
 Castlevania,2017–2021,12,27 min,"Animation, Action, Adventure",9.4,nil,"1,381"
 Sweet Tooth,2021– ,not rated,nil,"Action, Adventure, Drama",8.1,nil,"1,380"
 Raketsonyeondan,2021– ,not rated,nil,"Comedy, Drama, Sport",1.0,nil,"1,376"
Mosagallu,2021,not rated,85 min,Drama,6.3,nil,"1,376"
 Your Honor,2020–2021,12,57 min,"Crime, Drama, Thriller",8.1,nil,"1,374"
Cabras da Peste,2021,9,97 min,"Action, Comedy, Crime",6.2,nil,"1,370"
 Fear the Walking Dead,2015– ,not rated,47 min,"Drama, Horror, Sci-Fi",8.2,nil,"1,364"
Shukra,2021,not rated,119 min,Drama,7.5,nil,"1,358"
 One Piece: Wan pîsu,1999– ,not rated,nil,"Animation, Action, Adventure",9.2,nil,"1,358"
 This Is Us,2016–2022,9,43 min,"Comedy, Drama, Romance",9.0,nil,"1,356"
 Raketsonyeondan,2021– ,not rated,nil,"Comedy, Drama, Sport",1.0,nil,"1,355"
 Jujutsu Kaisen,2020– ,not rated,24 min,"Animation, Action, Adventure",8.2,nil,"1,349"
Jakob's Wife,2021,not rated,98 min,Horror,5.3,59        ,"1,345"
