movie_name,release_year,certificate,duration,genre,star,metascore,votes
Night Stalker: The Hunt for a Serial Killer,2021,16,189 min,"Documentary, Crime, Mystery",7.5,nil,"19,383"
 Loki,2021– ,12,51 min,"Action, Adventure, Fantasy",8.8,nil,"19,183"
Bad Trip,2021,16,86 min,Comedy,6.6,61        ,"19,065"
 WandaVision,2021,12,33 min,"Action, Comedy, Drama",8.2,nil,"18,721"
Yes Day,2021,AL,86 min,"Comedy, Family",5.7,46        ,"18,124"
To All the Boys: Always and Forever,2021,AL,109 min,"Comedy, Drama, Romance",6.3,65        ,"18,115"
 WandaVision,2021,12,47 min,"Action, Comedy, Drama",9.0,nil,"17,944"
 WandaVision,2021,12,50 min,"Action, Comedy, Drama",8.4,nil,"17,831"
El inocente,2021,not rated,467 min,"Crime, Drama, Mystery",7.9,nil,"17,699"
Wrong Turn,2021,16,109 min,"Horror, Thriller",5.5,46        ,"17,508"
 WandaVision,2021,12,38 min,"Action, Comedy, Drama",8.9,nil,"17,424"
 Shingeki no kyojin,2013–2021,not rated,24 min,"Animation, Action, Adventure",9.3,nil,"16,810"
 WandaVision,2021,12,38 min,"Action, Comedy, Drama",8.5,nil,"16,277"
Firefly Lane,2021– ,16,nil,"Drama, Romance",7.5,nil,"16,028"
 Loki,2021– ,12,53 min,"Action, Adventure, Fantasy",9.0,nil,"15,546"
Bajocero,2021,18,106 min,"Action, Adventure, Crime",6.2,nil,"15,532"
Karnan,2021,not rated,158 min,"Action, Drama",8.3,nil,"15,479"
The Marksman,2021,16,108 min,"Action, Drama, Thriller",5.6,44        ,"15,219"
Superman and Lois,2021– ,not rated,42 min,"Action, Adventure, Drama",7.9,nil,"15,170"
 The Falcon and the Winter Soldier,2021,12,47 min,"Action, Adventure, Drama",7.7,nil,"15,166"
Infinite,2021,PG-13,106 min,"Action, Sci-Fi, Thriller",5.4,28        ,"14,937"
Willy's Wonderland,2021,16,88 min,"Action, Comedy, Horror",5.6,44        ,"14,882"
Crime Scene: The Vanishing at the Cecil Hotel,2021,12,219 min,"Documentary, Crime, Mystery",5.9,nil,"14,692"
Fatherhood,2021,PG-13,109 min,"Comedy, Drama",6.7,53        ,"14,679"
The Map of Tiny Perfect Things,2021,PG-13,98 min,"Comedy, Fantasy, Romance",6.8,61        ,"14,518"
The Nevers,2021– ,16,58 min,"Action, Drama, Fantasy",7.4,nil,"14,347"
 Shingeki no kyojin,2013–2021,not rated,24 min,"Animation, Action, Adventure",9.7,nil,"13,975"
 The Falcon and the Winter Soldier,2021,12,53 min,"Action, Adventure, Drama",8.8,nil,"13,719"
Bliss,I 2021,R,103 min,"Drama, Romance, Sci-Fi",5.3,40        ,"13,656"
Them,2021– ,not rated,45 min,"Drama, Horror, Thriller",7.3,nil,"13,440"
Awake,III 2021,16,96 min,"Action, Adventure, Drama",4.8,35        ,"13,370"
 The Falcon and the Winter Soldier,2021,12,47 min,"Action, Adventure, Drama",7.9,nil,"13,106"
 Shingeki no kyojin,2013–2021,not rated,24 min,"Animation, Action, Adventure",8.9,nil,"13,000"
 Shingeki no kyojin,2013–2021,not rated,24 min,"Animation, Action, Adventure",9.8,nil,"12,952"
The Irregulars,2021,not rated,nil,"Crime, Drama, Fantasy",5.9,nil,"12,219"
 Shingeki no kyojin,2013–2021,not rated,24 min,"Animation, Action, Adventure",9.7,nil,"12,195"
 The Falcon and the Winter Soldier,2021,12,51 min,"Action, Adventure, Drama",8.0,nil,"12,123"
 Loki,2021– ,12,42 min,"Action, Adventure, Fantasy",7.9,nil,"12,061"
 Shingeki no kyojin,2013–2021,not rated,24 min,"Animation, Action, Adventure",9.1,nil,"12,009"
The Big Bull,2021,not rated,153 min,"Biography, Crime, Drama",6.1,nil,"11,623"
Dota: Dragon's Blood,2021– ,not rated,25 min,"Animation, Action, Adventure",8.0,nil,"11,485"
 Shingeki no kyojin,2013–2021,not rated,24 min,"Animation, Action, Adventure",9.2,nil,"11,441"
 The Falcon and the Winter Soldier,2021,12,49 min,"Action, Adventure, Drama",7.8,nil,"11,440"
 The Falcon and the Winter Soldier,2021,12,57 min,"Action, Adventure, Drama",8.0,nil,"11,296"
 Shingeki no kyojin,2013–2021,not rated,24 min,"Animation, Action, Adventure",9.7,nil,"11,238"
Red Dot,2021,16,86 min,"Drama, Horror, Thriller",5.5,nil,"11,204"
Clarkson's Farm,2021– ,not rated,45 min,Documentary,9.3,nil,"10,554"
The One,2021– ,not rated,nil,"Crime, Drama, Sci-Fi",6.6,nil,"10,486"
Star Wars: The Bad Batch,2021– ,not rated,nil,"Animation, Action, Adventure",8.4,nil,"10,374"
The Unholy,2021,16,99 min,"Drama, Horror, Mystery",5.0,36        ,"10,352"
Deadly Illusions,2021,R,114 min,"Drama, Thriller",3.7,nil,"10,278"
Vakeel Saab,2021,not rated,153 min,"Action, Crime, Drama",7.9,nil,"10,144"
Kagittan Hayatlar,2021,12,96 min,Drama,6.7,nil,"9,873"
¿Quién Mató a Sara?,2021– ,not rated,nil,"Crime, Drama, Mystery",6.4,nil,"9,864"
Tribes of Europa,2021– ,16,nil,"Action, Adventure, Drama",6.8,nil,"9,671"
The United States vs. Billie Holiday,2021,14,126 min,"Biography, Drama, Music",6.3,52        ,"9,652"
Azizler,2021,9,96 min,"Comedy, Drama",6.1,nil,"9,368"
Harga,2021– ,not rated,nil,Drama,9.7,nil,"9,309"
Halston,2021,14,240 min,"Biography, Drama",7.5,nil,"9,245"
Iste Bu Benim Masalim,2021,not rated,40 min,"Musical, Romance",1.5,nil,"9,225"
Voyagers,2021,12,108 min,"Adventure, Sci-Fi, Thriller",5.4,44        ,"9,003"
De wensdraak,2021,6,98 min,"Animation, Adventure, Comedy",7.2,60        ,"8,998"
Way Down,2021,9,118 min,"Action, Adventure, Thriller",6.4,50        ,"8,834"
Jagame Thandhiram,2021,not rated,158 min,"Action, Crime, Drama",6.1,nil,"8,827"
 Loki,2021– ,12,48 min,"Action, Adventure, Fantasy",9.5,nil,"8,593"
Locked Down,I 2021,R,118 min,"Comedy, Crime, Romance",5.2,42        ,"8,409"
Barb and Star Go to Vista Del Mar,2021,PG-13,107 min,Comedy,6.4,64        ,"8,387"
 The Walking Dead,2010–2022,16,50 min,"Drama, Horror, Thriller",9.3,nil,"8,007"
Finding 'Ohana,2021,9,123 min,"Action, Adventure, Comedy",6.1,69        ,"7,890"
The Ice Road,2021,12,109 min,"Adventure, Drama, Thriller",5.5,41        ,"7,822"
The Married Woman,2021– ,not rated,30 min,"Drama, Romance",9.4,nil,"7,551"
Mumbai Saga,2021,not rated,135 min,"Action, Crime",6.1,nil,"7,393"
The Girl on the Train,2021,16,120 min,"Crime, Drama, Mystery",4.4,nil,"7,363"
Ferry,2021,18,106 min,"Action, Crime, Drama",7.0,nil,"7,359"
Time,2021– ,not rated,59 min,"Crime, Drama",8.5,nil,"7,263"
The Equalizer,2021– ,not rated,nil,"Action, Crime, Drama",4.8,nil,"7,214"
Pagglait,2021,12,114 min,"Comedy, Drama",6.9,nil,"7,196"
" Love, Death & Robots",2019– ,16,18 min,"Animation, Short, Comedy",8.1,nil,"7,179"
 Invincible,2021– ,not rated,45 min,"Animation, Action, Adventure",9.7,nil,"7,112"
 Aspirants,2021– ,not rated,46 min,Drama,9.6,nil,"6,893"
Kaagaz,2021,not rated,109 min,"Biography, Comedy, Drama",7.5,nil,"6,851"
Sandeep Aur Pinky Faraar,2021,not rated,125 min,"Comedy, Crime, Drama",6.3,nil,"6,806"
Cosmic Sin,2021,R,88 min,"Action, Adventure, Sci-Fi",2.5,9        ,"6,782"
Binsenjo,2021– ,not rated,80 min,"Comedy, Crime, Romance",8.6,nil,"6,740"
 Invincible,2021– ,not rated,48 min,"Animation, Action, Adventure",9.6,nil,"6,731"
" Love, Death & Robots",2019– ,16,12 min,"Animation, Short, Comedy",6.5,nil,"6,666"
Sentinelle,2021,16,80 min,"Action, Crime, Drama",4.7,nil,"6,640"
Debris,2021,not rated,nil,"Drama, Mystery, Sci-Fi",6.5,nil,"6,521"
Roohi,2021,16,134 min,"Comedy, Horror",4.3,nil,"6,496"
Sherni,2021,not rated,131 min,Drama,7.0,nil,"6,485"
Operation Varsity Blues: The College Admissions Scandal,2021,AL,99 min,"Documentary, Crime, Drama",7.0,70        ,"6,475"
" Love, Death & Robots",2019– ,16,18 min,"Animation, Short, Comedy",7.9,nil,"6,426"
